ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,R_rev,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
8035581,Cozy studio room with balcony,1280411,https://www.airbnb.com/s/Hongkong?page=1,180,"I have a spare bed in my cozy studio room, well situated and convenient place to stay. its 3rd floor walk up but then its a chill place to stay while ur visiting hongkong.",Liz,October 2011,22.279980317185974,114.1758411767006,No,Strict,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,4.5,5,5,5,4.5,4.5,27,1,1,Real Bed,1,Not Found,Not Found,1,Apartment,Cozy studio room with balcony
10601233,Modern design in heart of Wan Chai,54702783,https://www.airbnb.com/s/Hongkong?page=1,797,"Modern designer walk up apartment located 5 mins from the Wan Chai MTR. Lots of light, fully furnished with double size bed (+ additional mattress in guest room ), couch, TV, wifi, washer/dryer, microwave, etc.",Tony,January 2016,22.276095317821497,114.1772638317811,No,Not Found,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Not Found,2,Not Found,Not Found,2,Apartment,Modern design in heart of Wan Chai
7517361,THIS IS OUR ROOM 2/ 2號房/これは、私たちの部屋2,35448674,https://www.airbnb.com/s/Hongkong?page=1,289,"溫馨,舒適,小但一應俱全/ Very comfortable room with HD TV, and the toilet is cool as well. Free WIFI, and free Laundry.",Panda,June 2015,22.318253569702833,114.16969498838753,No,Strict,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,9%,0%,5,5,5,5,4.5,4.5,35,2,1,Real Bed,1,2:00 PM,11:00 AM,1,Apartment,THIS IS OUR ROOM 2/ 2號房/これは、私たちの部屋2
3380808,雙人大床房,14997120,https://www.airbnb.com/s/Hongkong?page=1,352,"適合夫妻,情侶入住,近地鐵站,屬旺角中心地帶",Cy House,May 2014,22.3218439738027,114.16995065914485,No,Strict,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,0%,0%,4.5,4.5,4.5,4.5,4.5,4.5,59,2,1,Real Bed,1,2:00 PM,12:00 PM (noon),1,Apartment,雙人大床房
10698433,Right in the center of Hong Kong.,37682794,https://www.airbnb.com/s/Hongkong?page=1,121,"Located in Mong Kok with you can get everything you want.  As is the center of the transport,  convenient to go everywhere.  For foodies,  food in this area run 24/7.",Nico,July 2015,22.32026631966101,114.17049350950961,No,Not Found,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,Real Bed,1,Not Found,Not Found,1,Apartment,Right in the center of Hong Kong.
4836749,1.2 Sleep in a Pod in Hong Kong!,23801931,https://www.airbnb.com/s/Hongkong?page=1,266,"Launched in Dec. 2014, we are centrally located in a soulful Chinese neighbourhood and just a stone's throw to the city's hustling bustling attractions, as well as its renowned mountain & coastal charms.  ",Mj,November 2014,22.31921836792053,114.18864999310482,No,Moderate,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,0%,0%,5,5,5,5,4.5,4.5,39,1,8+,Real Bed,1,3:00 PM,11:00 AM,1,Dorm,1.2 Sleep in a Pod in Hong Kong!
8786258,Nice flat in Soho & private rooftop,39928243,https://www.airbnb.com/s/Hongkong?page=1,328,We are a french couple living in Hong-Kong and we would be delighted to welcome you in our home :,Nathalie,July 2015,22.28234788529499,114.15310698687524,No,Not Found,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,1,1,Not Found,1,7:00 PM,8:00 AM,2,Apartment,Nice flat in Soho & private rooftop
9673285,Bright Family Room (TST),27405997,https://www.airbnb.com/s/Hongkong?page=1,453,"A spacious room with one double bed and one sofa bed, ideally for three guests. This is a very comfortable bedroom with high quality mattress, wardrobe, desk, chair, air-con, wifi, hair dryer… etc.",Raymond,February 2015,22.30208521777292,114.17425621234673,No,Strict,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,$100 HKD / night after the first guest,10%,5%,5,5,5,5,5,5,13,3,2,Not Found,1,1:00 PM,11:00 AM,2,Apartment,Bright Family Room (TST)
10444403,800sf Penthouse 1 min to MTR,19625539,https://www.airbnb.com/s/Hongkong?page=1,966,"Penthouse w/ 2bedroom + studies and rooftop access in Tsing Yi Island, Hong Kong.  Unobstructed view of  mountain & sea. Sits  on top of the Maritime Square Mall with direct access to MTR subway and airport express.  15 mins to Central.",Nancy,August 2014,22.3591480437203,114.1065641230012,No,Not Found,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,5,1,Not Found,2,3:00 PM,11:00 AM,3,Apartment,800sf Penthouse 1 min to MTR
9687729,Quiet open plan apt. near MTR (HK),50078996,https://www.airbnb.com/s/Hongkong?page=1,485,"Recently renovated apartment located in a quiet residence with internal patio gardens. Within a stone's throw from all convenient amenities (MTR, public/olympic size swimming pool, park) and a new vibrant scene of bars/restaurants. Close to HKU too.",Elise,November 2015,22.28224825768043,114.13050353984062,No,Not Found,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,Quiet open plan apt. near MTR (HK)
